"RelativePath","ArtifactClass","SourcePath","DestinationPath","SizeBytes","SourceSHA256","PackageSHA256","HashPreserved","PackagingStatus","PackagedAt"
"activation\deployment-operations\DEPLOYMENT_FEEDBACK_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\deployment-operations\DEPLOYMENT_FEEDBACK_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\deployment-operations\DEPLOYMENT_FEEDBACK_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0935881-05:00"
"activation\deployment-operations\DEPLOYMENT_PIPELINE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\deployment-operations\DEPLOYMENT_PIPELINE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\deployment-operations\DEPLOYMENT_PIPELINE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1015940-05:00"
"activation\deployment-operations\FIELD_VALIDATION_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\deployment-operations\FIELD_VALIDATION_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\deployment-operations\FIELD_VALIDATION_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1086033-05:00"
"activation\deployment-operations\IMPLEMENTATION_SUPPORT_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\deployment-operations\IMPLEMENTATION_SUPPORT_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\deployment-operations\IMPLEMENTATION_SUPPORT_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1175961-05:00"
"activation\ecosystem-operations\ECOSYSTEM_COORDINATION_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\ecosystem-operations\ECOSYSTEM_COORDINATION_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\ecosystem-operations\ECOSYSTEM_COORDINATION_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1265915-05:00"
"activation\ecosystem-operations\ECOSYSTEM_GROWTH_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\ecosystem-operations\ECOSYSTEM_GROWTH_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\ecosystem-operations\ECOSYSTEM_GROWTH_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1330952-05:00"
"activation\ecosystem-operations\ECOSYSTEM_HEALTH_OPERATIONS.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\ecosystem-operations\ECOSYSTEM_HEALTH_OPERATIONS.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\ecosystem-operations\ECOSYSTEM_HEALTH_OPERATIONS.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1422233-05:00"
"activation\ecosystem-operations\ECOSYSTEM_OPERATING_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\ecosystem-operations\ECOSYSTEM_OPERATING_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\ecosystem-operations\ECOSYSTEM_OPERATING_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1505924-05:00"
"activation\funding-operations\FUNDING_PIPELINE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\funding-operations\FUNDING_PIPELINE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\funding-operations\FUNDING_PIPELINE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1598179-05:00"
"activation\funding-operations\GRANT_OPERATIONS_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\funding-operations\GRANT_OPERATIONS_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\funding-operations\GRANT_OPERATIONS_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1698181-05:00"
"activation\funding-operations\INVESTMENT_RELATIONSHIP_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\funding-operations\INVESTMENT_RELATIONSHIP_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\funding-operations\INVESTMENT_RELATIONSHIP_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1768109-05:00"
"activation\funding-operations\RESOURCE_STEWARDSHIP_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\funding-operations\RESOURCE_STEWARDSHIP_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\funding-operations\RESOURCE_STEWARDSHIP_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1836151-05:00"
"activation\impact-operations\IMPACT_TRACKING_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\impact-operations\IMPACT_TRACKING_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\impact-operations\IMPACT_TRACKING_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.1926510-05:00"
"activation\impact-operations\LONG_TERM_EFFECT_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\impact-operations\LONG_TERM_EFFECT_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\impact-operations\LONG_TERM_EFFECT_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2006802-05:00"
"activation\impact-operations\OUTCOME_VALIDATION_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\impact-operations\OUTCOME_VALIDATION_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\impact-operations\OUTCOME_VALIDATION_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2076255-05:00"
"activation\impact-operations\SOCIAL_VALUE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\impact-operations\SOCIAL_VALUE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\impact-operations\SOCIAL_VALUE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2106403-05:00"
"activation\partnership-operations\COLLABORATION_OPERATING_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\partnership-operations\COLLABORATION_OPERATING_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\partnership-operations\COLLABORATION_OPERATING_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2246183-05:00"
"activation\partnership-operations\PARTNER_ONBOARDING_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\partnership-operations\PARTNER_ONBOARDING_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\partnership-operations\PARTNER_ONBOARDING_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2345248-05:00"
"activation\partnership-operations\PARTNERSHIP_FRAMEWORK.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\partnership-operations\PARTNERSHIP_FRAMEWORK.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\partnership-operations\PARTNERSHIP_FRAMEWORK.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2434387-05:00"
"activation\partnership-operations\RELATIONSHIP_CONTINUITY_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\partnership-operations\RELATIONSHIP_CONTINUITY_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\partnership-operations\RELATIONSHIP_CONTINUITY_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2484210-05:00"
"activation\research-operations\DISCOVERY_PIPELINE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\research-operations\DISCOVERY_PIPELINE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\research-operations\DISCOVERY_PIPELINE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2545694-05:00"
"activation\research-operations\PUBLICATION_OPERATIONS_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\research-operations\PUBLICATION_OPERATIONS_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\research-operations\PUBLICATION_OPERATIONS_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2605596-05:00"
"activation\research-operations\RESEARCH_COLLABORATION_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\research-operations\RESEARCH_COLLABORATION_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\research-operations\RESEARCH_COLLABORATION_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2654245-05:00"
"activation\research-operations\RESEARCH_PROGRAM_OPERATIONS.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\research-operations\RESEARCH_PROGRAM_OPERATIONS.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\research-operations\RESEARCH_PROGRAM_OPERATIONS.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2654245-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\ADAPTIVE_LEARNING_ARCHITECTURE.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\adaptive-learning-architecture\ADAPTIVE_LEARNING_ARCHITECTURE.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\adaptive-learning-architecture\ADAPTIVE_LEARNING_ARCHITECTURE.md","846","CB3BF974861328FD2CEFF788998FD38D4A451E666BB96F2E20475E8AEFC4B69E","CB3BF974861328FD2CEFF788998FD38D4A451E666BB96F2E20475E8AEFC4B69E","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2654245-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_EVOLUTION_RECORD.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_EVOLUTION_RECORD.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_EVOLUTION_RECORD.md","755","592649B54C0577B566E0D77D449A09948E35DD8B920F2B864135B607AC51D24A","592649B54C0577B566E0D77D449A09948E35DD8B920F2B864135B607AC51D24A","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2825097-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_SIGNAL_REGISTER.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_SIGNAL_REGISTER.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_SIGNAL_REGISTER.md","766","DDF752F466353172B372D08F8D20585A62230189DFA83181D756CEAB363DC047","DDF752F466353172B372D08F8D20585A62230189DFA83181D756CEAB363DC047","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2885212-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\DYNAMIC_GOVERNANCE_INTELLIGENCE.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\dynamic-governance-intelligence\DYNAMIC_GOVERNANCE_INTELLIGENCE.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\dynamic-governance-intelligence\DYNAMIC_GOVERNANCE_INTELLIGENCE.md","896","DE24E5F9015B7B8078AC98CC72F26F59658FCEE4B8FAF9187FCF5FBFFDEB6C1B","DE24E5F9015B7B8078AC98CC72F26F59658FCEE4B8FAF9187FCF5FBFFDEB6C1B","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2925281-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_EVOLUTION_RECORD.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_EVOLUTION_RECORD.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_EVOLUTION_RECORD.md","775","BDCB8B82421FA9ADDC3D6F73421BF8218A0EBF798D5B1780CFBE84F849CA5611","BDCB8B82421FA9ADDC3D6F73421BF8218A0EBF798D5B1780CFBE84F849CA5611","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.2961525-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_INTELLIGENCE_REGISTER.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_INTELLIGENCE_REGISTER.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_INTELLIGENCE_REGISTER.md","786","94D27298BBFE608D2C02F404F791A50524BAE60F444E421A4625DE28A74D0DB6","94D27298BBFE608D2C02F404F791A50524BAE60F444E421A4625DE28A74D0DB6","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3073593-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\ARCHITECTURE_EVOLUTION_RECORD.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\evolutionary-architecture-framework\ARCHITECTURE_EVOLUTION_RECORD.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\evolutionary-architecture-framework\ARCHITECTURE_EVOLUTION_RECORD.md","805","15A5C735B891F0215153F2C2180EF3784C0C731889EC64FCE565E1CC615D40E4","15A5C735B891F0215153F2C2180EF3784C0C731889EC64FCE565E1CC615D40E4","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3161835-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTION_STATE_REGISTER.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTION_STATE_REGISTER.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTION_STATE_REGISTER.md","754","736F00A21768EC48F19C58638901F8375C661EFB2B0CDAE26164477EC5E5A3A0","736F00A21768EC48F19C58638901F8375C661EFB2B0CDAE26164477EC5E5A3A0","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3231870-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTIONARY_ARCHITECTURE_FRAMEWORK.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTIONARY_ARCHITECTURE_FRAMEWORK.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTIONARY_ARCHITECTURE_FRAMEWORK.md","954","ED32475805C1568B17ACE0639EF7570B6926BF3D7BDAF75624761C6E4CEC71B5","ED32475805C1568B17ACE0639EF7570B6926BF3D7BDAF75624761C6E4CEC71B5","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3292761-05:00"
"adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_COMPLETION_RECORD.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_COMPLETION_RECORD.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_COMPLETION_RECORD.md","862","7BB4F30C34510481D555146B74C1CD8371E585B050DBB6D0B05CCD59F2959C43","7BB4F30C34510481D555146B74C1CD8371E585B050DBB6D0B05CCD59F2959C43","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3367933-05:00"
"adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_VALIDATION_REPORT.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_VALIDATION_REPORT.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_VALIDATION_REPORT.md","880","2D894698630595404D6DDE26CF6D0DB51D0C4B7FE75B38610D7112F145FDFA65","2D894698630595404D6DDE26CF6D0DB51D0C4B7FE75B38610D7112F145FDFA65","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3428052-05:00"
"adaptive-ecosystem-evolution\final-consolidation\EVOLUTIONARY_ECOSYSTEM_REFERENCE_STATE.md","DOCUMENTATION","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\final-consolidation\EVOLUTIONARY_ECOSYSTEM_REFERENCE_STATE.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\adaptive-ecosystem-evolution\final-consolidation\EVOLUTIONARY_ECOSYSTEM_REFERENCE_STATE.md","843","5CACEF48CAB1406965F070569E26EAF870C3C3DDCFF0DFFF590E0B42761C363F","5CACEF48CAB1406965F070569E26EAF870C3C3DDCFF0DFFF590E0B42761C363F","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.3509492-05:00"
