"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","AdjudicationStatus","FinalResult"
"MS-T6-ASM-013","MS-T6-RESP-001-B","EVIDENCE_STATE","AS-001","DISTORTED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;EVIDENCE_STATE","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","DISTORTED"
"MS-T6-ASM-014","MS-T6-RESP-001-B","INTERPRETATION","AS-001","UNSUPPORTED","MATERIAL","COMPENSABLE","MS-T6-RESP-001-B;INTERPRETATION","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","UNSUPPORTED"
"MS-T6-ASM-015","MS-T6-RESP-001-B","RESIDUAL_UNCERTAINTY","AS-001","ERASED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;RESIDUAL_UNCERTAINTY","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","ERASED"
"MS-T6-ASM-016","MS-T6-RESP-001-B","RESOLUTION_BOUNDARY","AS-001","VIOLATED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;RESOLUTION_BOUNDARY","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","VIOLATED"
"MS-T6-ASM-017","MS-T6-RESP-001-B","TRACEABILITY","AS-001","BROKEN","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;TRACEABILITY","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","BROKEN"
"MS-T6-ASM-018","MS-T6-RESP-001-B","UNCERTAINTY_CLASS","AS-001","ERASED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;UNCERTAINTY_CLASS","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","ERASED"
"MS-T6-ASM-019","MS-T6-RESP-CTRL-001","ACTION_CONTROL","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;ACTION_CONTROL","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-020","MS-T6-RESP-CTRL-001","CERTAINTY_CLAIM","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;CERTAINTY_CLAIM","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-021","MS-T6-RESP-CTRL-001","DECISION","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;DECISION","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-022","MS-T6-RESP-CTRL-001","EVIDENCE_STATE","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;EVIDENCE_STATE","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-023","MS-T6-RESP-CTRL-001","INTERPRETATION","AS-001","PRESERVED","NON_MATERIAL","COMPENSABLE","MS-T6-RESP-CTRL-001;INTERPRETATION","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-024","MS-T6-RESP-CTRL-001","RESIDUAL_UNCERTAINTY","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;RESIDUAL_UNCERTAINTY","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-025","MS-T6-RESP-CTRL-001","RESOLUTION_BOUNDARY","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;RESOLUTION_BOUNDARY","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-026","MS-T6-RESP-CTRL-001","TRACEABILITY","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;TRACEABILITY","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-027","MS-T6-RESP-CTRL-001","UNCERTAINTY_CLASS","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T6-RESP-CTRL-001;UNCERTAINTY_CLASS","The determinate control remained evidence-grounded without manufacturing uncertainty or inflating certainty.","NOT_REQUIRED","PRESERVED"
