"TheoremID","FileName","CsvRow","RecordIdentity","FieldName","EntryAuthority","HoldReason","GateStatus","Instruction"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","FinalResult","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Materiality","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess against the declared semantic criteria and cite the supporting response evidence."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess against the declared semantic criteria and cite the supporting response evidence."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Rationale","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","State the evidence-based rationale. Preserve uncertainty and contradictory observations."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AdjudicationStatus","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentResult","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Compensability","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess the downstream effect against the declared dependency and propagation criteria."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Provide a traceable reference to the supporting controlled source or observation."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","FinalResult","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Materiality","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess the downstream effect against the declared dependency and propagation criteria."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess the downstream effect against the declared dependency and propagation criteria."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Rationale","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","State the evidence-based rationale. Preserve uncertainty and contradictory observations."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectedAt","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectionMethod","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventClass","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventStatus","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Provide a traceable reference to the supporting controlled source or observation."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropagationLevel","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
