"EvaluationID","TrialID","ConditionID","ConditionType","ConditionText","EvidenceReferences","EvaluationState","Determination","Evaluator","EvaluatedAt","Notes"
"","MS-T1-TRIAL-0001","MS-T1-FC-012","","","MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-FC-013","","","MS-T1-EV-0004|MS-T1-EV-0005","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-FC-014","","","MS-T1-EV-0003","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-015",,,"MS-T1-EV-0001|MS-T1-EV-0004","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-016",,,"MS-T1-EV-0001|MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-017",,,"MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-018",,,"MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-019",,,"MS-T1-EV-0001|MS-T1-EV-0004|MS-T1-EV-0005","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-SC-020",,,"MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-021",,,"MS-T1-EV-0004","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-022",,,"MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-023",,,"MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-024",,,"MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-025",,,"MS-T1-EV-0004|MS-T1-EV-0005","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
,"MS-T1-TRIAL-0001","MS-T1-FC-026",,,"MS-T1-EV-0003","NOT_TRIGGERED",,"MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:22:02.3107684Z","Evaluated against admitted controlled reference evidence."
