"EvidenceID","TheoremID","VerificationID","EvidenceClass","MatchClass","AuthorityWeight","Disposition","SourcePath","LineNumber","EvidenceText","CanonicalAdmission","VerificationStatus","Notes"
"SRC-0012","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/LIMITATIONS.md","1","# MS-T1 Limitations","NOT_ADMITTED","UNVERIFIED",""
"SRC-0013","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/PROCEDURE.md","1","# MS-T1 Trial Procedure","NOT_ADMITTED","UNVERIFIED",""
"SRC-0014","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/REPRODUCIBILITY.md","1","# MS-T1 Reproducibility Requirements","NOT_ADMITTED","UNVERIFIED",""
"SRC-0015","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/RESULTS.md","1","# MS-T1 Results","NOT_ADMITTED","UNVERIFIED",""
"SRC-0016","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/SCORING_MODEL.md","1","# MS-T1 Scoring Model","NOT_ADMITTED","UNVERIFIED",""
"SRC-0017","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/TRIAL_CASES.csv","2","""MS-T1-CASE-001"","""","""","""","""","""","""","""","""",""DRAFT""","NOT_ADMITTED","UNVERIFIED",""
"SRC-0018","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","114","## 7. MS-T1 Verification Design","NOT_ADMITTED","UNVERIFIED",""
"SRC-0019","MS-T1","MS-T1-VERIFICATION","SCOPE_BOUNDARY_CANDIDATE","EXACT_THEOREM_ID","125","ADMISSIBLE_CANONICAL_CANDIDATE","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","148","MS-T1 is supported within scope when the governed group demonstrates a reproducible reduction in material divergence without introducing equivalent or greater governance-caused distortion.","CANDIDATE","UNVERIFIED",""
"SRC-0020","MS-T1","MS-T1-VERIFICATION","FALSIFICATION_CONDITION_CANDIDATE","EXACT_THEOREM_ID","125","ADMISSIBLE_CANONICAL_CANDIDATE","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","152","MS-T1 is falsified within scope when unrestricted entry performs equivalently or better across repeated trials using the same material-property criteria.","CANDIDATE","UNVERIFIED",""
"SRC-0002","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","100","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/FORMAL_MORNING_STAR_THEORY.md","266","### Theorem MS-T1 â€” Governed Initiation Necessity","NOT_ADMITTED","UNVERIFIED",""
